"College_Name","Class rank","Academic GPA","Standardized test scores","Application Essay","Recommendation(s)","Interview","Extracurricular activities","Talent/ability","Character/personal qualities","First generation","Alumni/ae relation","Geographical residence","State residency","Religious affiliation/commitment","Racial/ethnic status","Volunteer work","Work experience","Rigor of secondary school record","Level of applicant’s interest","UNITID","APPLCN","APPLCNM","APPLCNW","APPLCNAN","APPLCNUN","ADMSSN","ADMSSNM","ADMSSNW","ADMSSNAN","ADMSSNUN","ENRLT","ENRLM","ENRLW","ENRLAN","ENRLUN"
"alabama state university",2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,100724,6731,2147,4529,NA,55,6502,2036,4412,NA,54,943,361,582,NA,0
"american university",0,3,1,2,2,0,2,2,2,1,0,1,0,0,1,2,1,3,3,131159,19510,6354,13062,94,0,7926,2417,5466,43,0,1761,575,1186,0,0
"antioch college",1,3,1,3,3,1,2,3,3,1,1,0,0,0,1,2,2,NA,3,483018,176,66,110,NA,0,146,48,98,NA,0,27,8,19,NA,0
"austin college",1,3,1,3,1,1,1,1,1,1,1,0,0,0,0,1,1,3,1,222983,5192,2293,2836,NA,63,2823,1233,1583,NA,7,330,179,151,NA,0
"austin peay state university",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,219602,6362,2243,4114,5,0,5969,2071,3896,2,0,1465,595,870,0,0
"babson college",3,3,3,3,3,1,3,1,3,1,1,1,1,0,1,1,1,3,1,164580,7607,4790,2817,0,0,1700,884,816,NA,0,656,365,291,NA,0
"baldwin wallace university",2,3,1,2,1,1,2,2,2,1,1,1,1,0,1,1,1,NA,1,201195,4229,1799,2430,NA,0,3258,1483,1775,NA,0,643,296,347,NA,0
"barton college",0,3,0,1,1,2,2,2,2,2,2,0,0,0,0,2,0,3,2,197911,2129,935,1194,NA,0,2014,874,1140,NA,0,300,176,124,NA,0
"bates college",3,3,1,3,3,1,3,3,3,2,1,2,2,0,1,1,1,3,2,160977,8273,3757,4516,0,0,1137,510,627,NA,0,518,236,282,NA,0
"baylor university",1,3,3,2,1,0,1,1,1,0,1,0,0,0,0,1,1,3,1,223232,40753,15404,25320,NA,29,18699,8006,10691,NA,2,3296,1370,1926,NA,0
