"College","Class rank","Academic GPA","Standardized test scores","Application Essay","Recommendation(s)","Interview","Extracurricular activities","Talent/ability","Character/personal qualities","First generation","Alumni/ae relation","Geographical residence","State residency","Religious affiliation/commitment","Racial/ethnic status","Volunteer work","Work experience","Rigor of secondary school record","Level of applicant’s interest"
"Alabama State University",2,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
"American University",0,3,1,2,2,0,2,2,2,1,0,1,0,0,1,2,1,3,3
"and Technology at Cobleskill",0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,0
"Antioch College",1,3,1,3,3,1,2,3,3,1,1,0,0,0,1,2,2,NA,3
"Augustana College (IL)",1,3,1,3,1,2,2,1,1,1,1,1,1,0,1,1,0,3,3
"Austin College",1,3,1,3,1,1,1,1,1,1,1,0,0,0,0,1,1,3,1
"Austin Peay State University",0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Babson College",3,3,3,3,3,1,3,1,3,1,1,1,1,0,1,1,1,3,1
"Baldwin Wallace University",2,3,1,2,1,1,2,2,2,1,1,1,1,0,1,1,1,NA,1
"Barton College",0,3,0,1,1,2,2,2,2,2,2,0,0,0,0,2,0,3,2
"Bates College",3,3,1,3,3,1,3,3,3,2,1,2,2,0,1,1,1,3,2
"Baylor University",1,3,3,2,1,0,1,1,1,0,1,0,0,0,0,1,1,3,1
"Beloit College",1,3,1,3,3,1,2,2,2,1,1,0,0,0,1,1,1,NA,1
"Boston College",2,3,1,2,2,NA,2,2,2,1,NA,0,0,2,1,2,1,NA,0
"Bowie State University",1,3,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,3,0
"Bradley University",1,3,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,3,1
"Brigham Young University",0,3,3,3,3,0,3,3,3,2,0,0,0,3,0,3,3,3,1
"Bucknell University",1,3,2,3,2,0,3,3,3,1,1,1,0,1,1,2,2,3,1
"Cabrini University",0,3,1,2,1,1,1,1,1,0,1,0,0,0,0,1,0,NA,1
"California State Polytechnic University, Pomona",0,3,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,3,0
"California State University, Sacramento",0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0
"California State University, San Bernardino",0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Central Michigan University",1,3,1,1,1,1,1,2,1,0,1,0,0,0,0,1,1,3,1
"Chatham University",1,2,1,2,1,1,1,1,1,1,1,1,0,0,0,1,1,NA,1
"Christopher Newport University",2,3,2,2,2,2,2,2,2,1,1,1,1,0,0,1,1,3,2
"Claremont McKenna College",3,3,1,2,3,2,3,2,3,1,1,1,0,0,1,1,1,3,0
"Clark University",1,3,1,2,3,1,2,2,2,1,0,1,0,0,1,2,1,3,1
"Coastal Carolina University",2,3,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,3,0
"College of the Holy Cross",1,3,1,3,3,3,2,2,3,1,1,1,1,1,1,1,1,3,1
"Colorado State University",2,3,2,2,2,0,1,1,1,1,1,1,0,0,0,1,1,3,0
"Concordia University Chicago",NA,3,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,3,0
"Connecticut College",3,3,1,2,2,2,2,2,3,1,1,1,1,1,2,2,2,3,1
"Cornell University",2,3,1,3,3,1,3,3,3,1,1,1,1,0,1,1,1,NA,0
"Dartmouth College",3,3,3,3,3,1,3,2,3,1,1,1,0,0,1,1,1,3,1
"Davidson College",1,1,1,2,3,0,2,2,3,NA,0,0,0,0,0,3,0,3,NA
"Dickinson College",1,3,1,2,3,2,3,3,3,1,1,2,2,0,2,2,2,3,3
"Dominican University",2,3,1,1,1,1,1,1,1,0,1,NA,0,0,0,1,1,3,0
"Dominican University of California",2,3,1,3,1,1,2,2,3,0,0,0,0,0,0,2,2,NA,0
"Drake University",0,3,2,2,1,2,1,1,1,1,1,0,0,0,1,1,1,3,1
"Drexel University",3,3,3,2,2,1,1,1,2,1,1,0,0,0,0,1,1,3,1
"Duke University",NA,3,3,3,3,1,3,3,3,1,1,1,1,1,1,1,1,NA,1
"Duquesne University",2,3,3,1,1,1,2,2,2,1,1,1,1,1,1,2,2,3,1
"East Carolina University",2,3,0,3,0,0,1,1,1,1,1,0,3,0,0,1,1,3,1
"Emmaus Bible College",0,1,1,3,3,1,0,0,3,0,0,0,0,3,0,0,0,1,0
"Evergreen State College",0,3,2,3,1,1,1,0,0,2,0,0,0,0,0,1,1,3,2
"Fairfield University",1,3,1,3,3,2,2,2,2,2,1,1,0,0,1,2,2,3,2
"Fairleigh Dickinson University",1,3,3,1,2,1,1,1,0,0,1,1,1,0,0,1,1,NA,1
"Fashion Institute of Technology",0,3,0,3,0,0,1,3,1,1,1,0,0,0,0,1,1,3,0
"Flagler College",0,3,2,2,2,0,1,0,1,2,1,2,0,0,0,1,1,2,1
"Florida Institute of Technology",1,3,3,1,1,1,1,0,1,0,1,0,0,0,0,0,1,NA,2
"FLORIDA INTERNATIONAL UNIVERSITY",3,3,3,1,1,0,1,1,1,1,1,1,1,0,0,1,1,3,1
"Florida Polytechnic University",2,3,3,2,2,1,2,1,2,0,0,0,0,0,0,1,1,3,1
"Franklin W. Olin College of Engineering",2,3,1,3,3,3,3,3,3,1,1,1,1,0,2,2,2,3,3
"Georgia Gwinnett College",1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Gettysburg College",2,3,2,3,3,2,2,2,2,1,1,1,0,0,0,2,1,3,1
"Goucher College",1,3,1,2,2,1,2,2,1,1,1,1,1,0,1,2,1,3,1
