"Val_Type","Val"
"Name of College/University","University of Pittsburgh"
"Mailing Address","4200 Fifth Avenue"
"City/State/Zip/Country","Pittsburgh, PA 15260 United States"
"Main Phone Number","412-624-4141"
"WWW Home Page Address","www.pitt.edu"
"Admissions Phone Number","412-624-7488"
"Admissions Office Mailing Address","Alumni Hall - 4227 Fifth Avenue"
"City/State/Zip/Country","Pittsburgh, PA 15260 United States"
"Admissions Fax Number","412-624-4138"
"Admissions E-mail Address","pitt.admissions@pitt.edu"
"https","//www.pitt.edu/admissions"
