"Val_Type","Val"
"Name of College/University","University of California, Riverside"
"Mailing Address","900 University Avenue"
"City/State/Zip/Country","Riverside, CA 92521"
"Main Phone Number","951-827-1012"
"WWW Home Page Address","http//www.ucr.edu"
"Admissions Phone Number","951-827-3411"
"Admissions Office Mailing Address","3106 Student Services Bldg"
"City/State/Zip/Country","Riverside, CA 92521"
"Admissions Fax Number","951-827-6344"
"Admissions E-mail Address","admissions@ucr.edu"
"http","//www.universityofcalifornia.edu/apply"
