"Val_Type","Val"
"Office","Strategic Planning, Institutional Research, & Analytics"
"Mailing Address","PO Box 4132"
"City/State/Zip/Country","Flagstaff, AZ 86011-4132, USA"
"Phone","928-523-5804"
"E-mail Address","Institutional.Research@nau.edu"
"https","//in.nau.edu/institutional-research/common-data-set/"
"Name of College/University","Northern Arizona University"
"Mailing Address","PO Box 4084"
"City/State/Zip/Country","Flagstaff, AZ 86011-4084, USA"
"Street Address (if different)","South San Francisco"
"City/State/Zip/Country","Flagstaff, AZ 86011, USA"
"Main Phone Number","928-523-9011"
"WWW Home Page Address","https//nau.edu/"
"Admissions Phone Number","928-523-5511"
"Admissions Toll-Free Phone Number","888-628-2968"
"Admissions Office Mailing Address","PO Box 4084"
"City/State/Zip/Country","Flagstaff, AZ 86011-4084, USA"
"Admissions Fax Number","928-523-6023"
"Admissions E-mail Address","admissions@nau.edu"
"https","//nau.edu/admissions/how-to-apply"
