"Val_Type","Val"
"https","//www.suu.edu/ir/reports/cds.html"
"Name of College/University","Southern Utah University"
"Mailing Address","351 W University Blvd"
"City/State/Zip/Country","Cedar City, UT 84720"
"Main Phone Number","435-586-7700"
"WWW Home Page Address","https//www.suu.edu/"
"Admissions Phone Number","435-586-7740"
"Admissions Office Mailing Address","351 W University Blvd"
"City/State/Zip/Country","Cedar City, UT 84720"
"Admissions Fax Number","435-865-8223"
"Admissions E-mail Address","admissions@suu.edu"
"https","//www.suu.edu/admissions/online/"
