"Val_Type","Val"
"Office","Office of Institutional Effectiveness"
"Mailing Address","515 Loudon Rd."
"City/State/Zip/Country","Loudonville, NY 12211, USA"
"https","//www.siena.edu/offices/institutional-effectiveness/institutional-research/common-data-set/"
"Name of College/University","Siena College"
"Mailing Address","515 Loudon Rd."
"City/State/Zip/Country","Loudonville, NY 12211, USA"
"Main Phone Number","518-783-2300"
"WWW Home Page Address","https//www.siena.edu"
"Admissions Phone Number","518-783-2423"
"Admissions Office Mailing Address","Siena College Admissions Office, 515 Loudon Rd."
"City/State/Zip/Country","Loudonville, NY 12211, USA"
"Admissions Fax Number","518-783-2436"
"Admissions E-mail Address","admissions@siena.edu"
"https","/www.siena.edu/apply/"
