"Val_Type","Val"
"Office","Institutional Research"
"Mailing Address","74 King Street"
"City/State/Zip/Country","St. Augustine, FL 32084"
"Phone","(904) 829-6481"
"E-mail Address","Analytics@flagler.edu"
"https","//www.flagler.edu/offices/academic-affairs/institutional-research-and-effectiveness/explore-data/"
"Name of College/University","Flagler College"
"Mailing Address","74 King Street"
"City/State/Zip/Country","St. Augustine, FL 32084"
"Main Phone Number","(904) 829-6481"
"WWW Home Page Address","www.flagler.edu"
"Admissions Phone Number","(904) 819-6220"
"Admissions Toll-Free Phone Number","(800) 304-4208"
"Admissions Office Mailing Address","74 King Street"
"City/State/Zip/Country","St. Augustine, FL 32084"
"Admissions Fax Number","(904) 819-6466"
"Admissions E-mail Address","admissions@flagler.edu"
"https","//www.flagler.edu/admissions--aid/"
