"Val_Type","Val"
"https","//www.pfw.edu/offices/institutional-research/statistical-reports/"
"Name of College/University","Purdue University Fort Wayne"
"Mailing Address","2101 E. Coliseum Blvd."
"City/State/Zip/Country","Fort Wayne, IN 46850-1499"
"Main Phone Number","260-481-6812"
"WWW Home Page Address","https//www.pfw.edu"
"Admissions Phone Number","260-481-6812"
"Admissions Toll-Free Phone Number","800-324-4739"
"Admissions Office Mailing Address","2101 E. Coliseum Blvd."
"City/State/Zip/Country","Fort Wayne, IN 46850-1499"
"Admissions Fax Number","260-481-6880"
"Admissions E-mail Address","ask@pfw.edu"
