"Val_Type","Val"
"https","//www.wpunj.edu/institutional-effectiveness/commondataset"
"Name of College/University","William Paterson University"
"Mailing Address","300 Pompton Rd"
"City/State/Zip/Country","Wayne, NJ 07470"
"Main Phone Number","973-720-2000"
"WWW Home Page Address","www.wpunj.edu"
"Admissions Phone Number","973-720-2125"
"Admissions Office Mailing Address","Morrison Hall, 300 Pompton Rd"
"City/State/Zip/Country","Wayne, NJ 07470"
"Admissions Fax Number","973-720-2910"
"Admissions E-mail Address","admissions@wpunj.edu"
"https","//www.wpunj.edu/admissions/undergraduate/apply.html"
