"Val_Type","Val"
"https","//www.usf.edu/ods/data-and-reports/cds.aspx"
"Name of College/University","University of South Florida"
"Mailing Address","4202 E. Fowler Ave"
"City/State/Zip/Country","Tampa, FL 33620"
"Main Phone Number","(813) 974-2011"
"WWW Home Page Address","www.usf.edu"
"Admissions Phone Number","(813)974-3350"
"Admissions Office Mailing Address","4202 E. Fowler Ave, SVC 1036"
"City/State/Zip/Country","Tampa, FL 33620"
"Admissions Fax Number","(813)974-9689"
"Admissions E-mail Address","admissions@usf.edu"
"https","//secure.vzcollegeapp.com/usf/default.aspx?cid=87&ltid=1"
