"Val_Type","Val"
"https","//www.davidson.edu/offices-and-services/institutional-research/common-data-set"
"Name of College/University","Davidson College"
"Mailing Address","Box 5000"
"City/State/Zip/Country","Davidson, NC 28035-5000"
"Street Address (if different)","405 N. Main Street"
"City/State/Zip/Country","Davidson, NC 28035"
"Main Phone Number","704-894-2000"
"WWW Home Page Address","www.davidson.edu"
"Admissions Phone Number","704-894-2230"
"Admissions Toll-Free Phone Number","800-768-0380"
"Admissions Office Mailing Address","Box 7156"
"City/State/Zip/Country","Davidson, NC 28035-7156"
"Admissions Fax Number","704-894-2016"
"Admissions E-mail Address","admission@davidson.edu"
"https","//www.davidson.edu/admission-and-financial-aid/apply"
