"Val_Type","Val"
"Name of College/University","Stephen. F. Austin State University"
"Mailing Address","P.O. Box 13051, SFA Station"
"City/State/Zip/Country","Nacogdoches, Texas 75962"
"Street Address (if different)","1936 North Street"
"City/State/Zip/Country","Nacogdoches, Texas 75962"
"Main Phone Number","936-468-3401"
"WWW Home Page Address","www.sfasu.edu"
"Admissions Phone Number","936-468-2504"
"Admissions Office Mailing Address","P.O. Box 13051, SFA Station"
"City/State/Zip/Country","Nacogdoches, Texas 75962"
"Admissions Fax Number","936-468-3849"
"Admissions E-mail Address","admissions@sfasu.edu"
"http","//applytexas.org"
"https","//www.sfasu.edu/odei/about/welcome"
