"Val_Type","Val"
"Office","Office of Institutional Research and Assessment"
"Mailing Address","440 College St."
"City/State/Zip/Country","Burlington, VT 05405"
"Phone","802-656-4418"
"https","//www.uvm.edu/oir/common-data-set"
"Name of College/University","University of Vermont"
"Mailing Address","South Prospect St."
"City/State/Zip/Country","Burlington, VT 05405"
"Main Phone Number","802-656-3131"
"WWW Home Page Address","www.uvm.edu"
"Admissions Phone Number","802-656-3370"
"Admissions Office Mailing Address","UVM Admissions"
"City/State/Zip/Country","Burlington, VT 05401-3596"
"Admissions E-mail Address","admissions@uvm.edu"
"https","//www.uvm.edu/admissions/undergraduate/first-year-students-how-apply"
