"Val_Type","Val"
"Office","Office of Institutional Research"
"Mailing Address","1242 University of Oregon"
"City/State/Zip/Country","Eugene, OR 97403-1242"
"Phone","541-346-2003"
"Fax","541-346-2537"
"E-mail Address","contactir@uoregon.edu"
"https","//ir.uoregon.edu/"
"Name of College/University","University of Oregon"
"Mailing Address","1226 University of Oregon"
"City/State/Zip/Country","Eugene, OR 97403-1226"
"Main Phone Number","541-346-1000"
"WWW Home Page Address","www.uoregon.edu"
"Admissions Phone Number","541-346-3201"
"Admissions Toll-Free Phone Number","800-232-3825"
"Admissions Office Mailing Address","1217 University of Oregon"
"City/State/Zip/Country","Eugene, OR 97403-1217"
"Admissions Fax Number","541-346-5815"
"Admissions E-mail Address","admissions@uoregon.edu"
