"Val_Type","Val"
"Name of College/University","Cornell University"
"Mailing Address","410 Thurston Avenue"
"City/State/Zip/Country","Ithaca, NY 14850"
"Main Phone Number","(607) 255-2000"
"WWW Home Page Address","www.cornell.edu"
"Admissions Phone Number","(607) 255-5241"
"Admissions Office Mailing Address","410 Thurston Avenue"
"City/State/Zip/Country","Ithaca, NY 14850"
"Admissions Fax Number","(607) 255-0659"
"Admissions E-mail Address","admissions@cornell.edu"
"http","//admissions.cornell.edu/apply"
