"Val_Type","Val"
"Name of College/University","Arkansas Tech University"
"Mailing Address","215 West O Street"
"City/State/Zip/Country","Russellville, AR 72801, USA"
"Main Phone Number","(844) 804-2628"
"WWW Home Page Address","https//www.atu.edu"
"Admissions Phone Number","(479) 968-0343"
"Admissions Toll-Free Phone Number","(800) 582-6953"
"Admissions Office Mailing Address","Brown Hall, Suite 104, 105 West O Street"
"City/State/Zip/Country","Russellville, AR 72801, USA"
"Admissions Fax Number","(479) 968-0522"
"Admissions E-mail Address","tech.enroll@atu.edu"
"https","//www.atu.edu/admissions"
