"Val_Type","Val"
"Name of College/University","University of Rochester"
"Mailing Address","PO Box 270251"
"City/State/Zip/Country","Rochester, NY 14627-0251"
"Street Address (if different)","300 Wilson Boulevard"
"City/State/Zip/Country","Rochester, NY 14627-0251"
"Main Phone Number","585-275-2121"
"WWW Home Page Address","www.rochester.edu"
"Admissions Phone Number","585-275-3221"
"Admissions Toll-Free Phone Number","888-822-2256"
"Admissions Office Mailing Address","300 Wilson Boulevard"
"City/State/Zip/Country","Rochester, NY 14627-0251"
"Admissions Fax Number","585-461-4595"
"Admissions E-mail Address","admit@admissions.rochester.edu"
"application, please specify","https//www.rochester.edu/admissions/"
"A6 Diversity, Equity & Inclusion URL","https//www.rochester.edu/diversity/"
